River,Sample Point,Month,Year,COVID,Temp.(0C):Lab.,PH : Lab.,EC(micro S/cm),Chloride (mg/L),T. Alkalinity(mg/L),Turbidity. NTU,TS (mg/L),TDS (mg/L),SS (mg/L),DO (mg/L),BOD5 (mg/L),COD (mg/L)
Shitalakhya River,Murapara,3,2021,Covid,20.3,7.17,361,37,167,79.6,209,191.7,18,4.7,4.8,12
Shitalakhya River,Port Road,3,2021,Covid,22,7.19,866,136.5,283,310,531,453,78,0,30,85
Buriganga River,Mirpur Bridge,3,2021,Covid,19.7,6.75,799,69.5,186,267,513,438,75,0,9.6,76
Buriganga River,Hazaribagh,3,2021,Covid,19.8,7.21,941,66.5,213,232,583,517,69,0,8.4,76
Buriganga River,Kamrangir Char,3,2021,Covid,19.4,7.28,907,68,196,512,580,501,79,0,22.8,52
Buriganga River,Chadnighat,3,2021,Covid,19.1,7.16,949,70,262,342,782,528,254,0,30,98
Buriganga River,Bosila bridge,3,2021,Covid,19,6.88,955,74,199,344,691,534,157,0,32,120
Buriganga River,Bangladesh China Friendship Bridge ,3,2021,Covid,19.6,6.94,837,74,220,383,537,462,75,0,30,78
Buriganga River,Pagla ,3,2021,Covid,19.3,7.14,851,62.5,209,253,542,471,71,0,9.6,85
Turag River,Turag Bridge,4,2021,Covid,15.9,7.98,1106,85,272,517,798,670,128,0.6,32,128
Turag River,Asshulia BIWTA Landing Station ,4,2021,Covid,15.8,7.6,1296,66,267,292,869,791,78,0,18,70
Turag River,Kaliyakor  ,4,2021,Covid,16.2,7.51,895,72.5,152,496,572,534,38,1.6,30,59
Turag River,Vawal,4,2021,Covid,16.1,7.55,1338,76,302,254,859,813,46,1.2,32,100
Turag River,Nama Bazar,4,2021,Covid,16,7.58,1165,70.5,220,231,742,705,37,1,30,126
Balu River,Trimohoni Bridge,4,2021,Covid,24.6,6.82,849,72,272,141.5,466,420,46,0,30,120
Balu River,Jolshiri Abashon,4,2021,Covid,24,6.77,845,74,287,42.2,425,422,3,2.4,6.4,13
Shitalakhya River,Demra Ghat,4,2021,Covid,25,7.07,919,65,227,79.6,502,445,57,0,14,36
Shitalakhya River,Murapara,4,2021,Covid,24.4,7.38,610,52,192,62,304,299,5,4.2,6.4,18
Buriganga River,Mirpur Bridge,4,2021,Covid,21.8,7.35,1149,170,72.5,596,594,2,0,24,76,97.2
Buriganga River,Hazaribagh,4,2021,Covid,21.3,7.35,966,185,76,513,506,7,0,33,90,93.9
Buriganga River,Kamrangir Char,4,2021,Covid,21.3,7.32,974,232,72,513,511,2,0,10,78,33.1
Buriganga River,Chadnighat,4,2021,Covid,21.5,7.32,948,204,67.5,499,495,4,0,15,66,22.3
Buriganga River,Bosila bridge,4,2021,Covid,21.4,7.36,990,199,74,520,518,2,0,18,59,31.1
Buriganga River,Bangladesh China Friendship Bridge ,4,2021,Covid,21.6,7.45,943,255,66,498,493,5,0.3,23,76,36.2
Buriganga River,Pagla ,4,2021,Covid,21.4,7.49,930,215,62.5,512,485,27,0.2,23,72,98.3
Turag River,Turag Bridge,5,2021,Covid,20.2,7.27,868,44.5,203,14.2,476,472,4,2.8,12,39
Turag River,Asshulia BIWTA Landing Station ,5,2021,Covid,20.5,7.32,399,26,120,11.7,212,211,1,2.9,8.2,24
Turag River,Kaliyakor  ,5,2021,Covid,20.1,7.46,163,20.5,49,17.1,88,86,2,4.9,6.2,10
Turag River,Vawal,5,2021,Covid,21,7.26,322,24.5,89,17.5,172,168,4,4.9,6.2,51
Turag River,Nama Bazar,5,2021,Covid,20.4,7.27,322,25,92,12.9,171,170,1,2.9,8.4,34
Balu River,Trimohoni Bridge,5,2021,Covid,21.7,6.6,689,72,194,131.2,375,360,15,0.2,26,70
Balu River,Jolshiri Abashon,5,2021,Covid,21.6,6.93,763,55,225,38.6,417,399,18,2.9,6.4,20
Shitalakhya River,Demra Ghat,5,2021,Covid,21.4,6.93,611,44.5,186,72,326,320,6,0,10,58
Shitalakhya River,Murapara,5,2021,Covid,22,7.13,501,37,252,58.3,268,259,9,1.3,7,21
Shitalakhya River,Port Road,5,2021,Covid,23.4,7.35,598,42,251,77.6,295,285,10,1.2,12,70
Buriganga River,Mirpur Bridge,5,2021,Covid,23.3,6.95,730,45.5,147,62,405,386,19,0.6,28,90
Buriganga River,Hazaribagh,5,2021,Covid,22.8,7.18,917,48.5,177,49.7,522,500,22,0.9,28,70
Buriganga River,Kamrangir Char,5,2021,Covid,23.5,7.4,970,49,192,60.5,554,536,18,0.8,31,80
Buriganga River,Chadnighat,5,2021,Covid,22.1,7.34,1000,45.5,199,89.3,571,546,25,0.6,30,80
Buriganga River,Bosila bridge,5,2021,Covid,23.3,7.39,896,44.5,157,60.2,516,496,20,0.7,30,97
Buriganga River,Bangladesh China Friendship Bridge ,5,2021,Covid,23.5,7.47,978,44.5,189,68.2,568,541,27,0.7,28,97
Buriganga River,Pagla ,5,2021,Covid,22.3,7.43,993,43.5,200,67.6,575,540,35,0.8,28,80
Turag River,Turag Bridge,6,2021,Covid,21.9,7.58,195.9,18,102,NAN,122.4,99.4,23,3.4,9,41
Turag River,Asshulia BIWTA Landing Station ,6,2021,Covid,21.6,7.48,188.8,18,97,NAN,138.3,96.3,42,3.1,18,44
Turag River,Kaliyakor  ,6,2021,Covid,21.8,7.5,148.2,16,51,NAN,288.1,75.1,213,7.6,18,51
Turag River,Vawal,6,2021,Covid,21.2,7.25,147.8,14.5,50,NAN,231.9,76.9,155,6,13,20
Turag River,Nama Bazar,6,2021,Covid,21.8,6.9,131.2,6,54,NAN,304.6,69.6,235,4.5,8,22
Balu River,Trimohoni Bridge,6,2021,Covid,21.2,6.13,464,44.5,112,236,305,243,62,0,18,54
Balu River,Jolshiri Abashon,6,2021,Covid,21.8,6.6,335,25.5,106,278,183,176,7,1.4,16,51
Shitalakhya River,Demra Ghat,6,2021,Covid,21.8,7.09,263,34.5,138,46,140,134,6,2.6,14,46
Shitalakhya River,Murapara,6,2021,Covid,21.8,7.07,318,19,91,74,179.4,167.4,12,1.4,16,44
Shitalakhya River,Near Ghorashal Fertilizer Factory,6,2021,Covid,21.8,7.02,156.7,11,65,34.9,157.4,79.4,78,2.4,7,19
Shitalakhya River,Port Road,6,2021,Covid,21.9,7.29,364,30.5,149,89,214,186,28,3,14,42
Buriganga River,Mirpur Bridge,6,2021,Covid,22.1,7.06,218.1,30,138,33.2,132.5,112.5,20,4.1,8.2,24
Buriganga River,Hazaribagh,6,2021,Covid,21.7,6.92,227,31.5,127,27.3,134.5,118.5,16,3.1,6.2,12
Buriganga River,Shat moshjid Road,6,2021,Covid,22.2,6.82,358,32,150,30.9,211.9,188.9,23,2.56,9.2,51
Buriganga River,Chadnighat,6,2021,Covid,22,6.98,261,30.5,137,23.5,142.1,132.1,10,2.05,8.2,22
Buriganga River,Bosila bridge,6,2021,Covid,21.8,6.98,226,30.5,102,24.4,135.9,117.9,18,3.4,8.4,15
Buriganga River,Bangladesh China Friendship Bridge ,6,2021,Covid,22.2,7.02,219.4,29.5,102,30.4,128.4,113.4,15,2.75,6.2,22
Buriganga River,Pagla ,6,2021,Covid,22.4,7,264,31,139,25.2,152,138,14,2.75,8.2,24
