River,Sample Point,Month,Year,Temp,PH,EC,Chloride,T_Alkalinity,Turbidity,TS,TDS,SS,DO,BOD5,COD
Buriganga River,Chadnighat. . ,11,2019,17.6,7.06,294,22,169,10.9,124,165.1,22,2.8,10.8,31
Buriganga River,"Sadar Ghat, ",11,2019,17.4,7.11,261,23,189,8.34,119,146.3,17,2.6,10.2,9.7
Buriganga River,"Dholaikhal, ",11,2019,18.1,7.15,255,21,192,5.7,117,140.8,18,2.8,9.6,2.4
Buriganga River,"Bangladesh China Friendship Bridge, ",11,2019,17.8,7.2,245,22,186,4.36,133,136.8,9,2.6,11.4,15
Buriganga River,Pagla. ,11,2019,17.7,7.09,246,23,202,10.2,110,136.3,12,2.8,10,17
Turag River,Near Gabtoli Bridge ,12,2019,17.8,7.03,634,72,246,111,481,361,120,0,12.6,73
Turag River,Mirpur Diabari BIWTA Landing Station  ,12,2019,18,7.34,469,30,183,59,347,264,83,0,12.4,66
Turag River,Asshulia BIWTA Landing Station ,12,2019,17.6,7.73,679,46,192,50,440,387,53,0,12.2,56
Turag River,Tongi Istima Mat,12,2019,18,7.69,617,56,250,70,442,350,92,0,8.6,39
Balu River,Near Jabar & Jubair Fabrics Ltd. Tongi.,12,2019,16.3,7.19,576,63,136,73,441,339,102,1.4,8.6,42
Balu River,"Near Hossain Dyeing Ltd, Pagar, Tongi.",12,2019,17.8,7.19,339,33.5,166,161,378,199,179,0.8,10.2,52
Balu River,"Near Damra University College, Demra Dhaka",12,2019,19.1,8.37,931,57.5,312,43.9,593,515,78,0,16,72
Balu River,"Near Balu Bridge, 300 feet Road,  Dhaka",12,2019,17.7,7.44,1045,123,255,65,691,602,89,0,12,60
Shitalakhya River,Demra Ghat.,12,2019,27.8,7.17,332,166,34,41.7,234,192,42,1,11,33
Shitalakhya River,Near Ghorashal Fertilizer Factory.,12,2019,21,7.32,230,120,18,17,162,154,18,4.5,6.2,16
Shitalakhya River,Near ACI Factory.,12,2019,21.3,7.34,330,162,32,35.3,210,175,35,2,8,30
Buriganga River,Mirpur Bridge,12,2019,20.2,7.19,454,28.5,245,13.1,269,243,26,1.3,14.2,32
Buriganga River,Hazaribagh. .,12,2019,20.7,7.09,480,31.5,286,17.6,292,254,38,1.4,16.2,34
Buriganga River,Kamrangir Char.,12,2019,20.1,7.19,465,31.5,273,19.6,284,249,35,1.1,9.6,39
Buriganga River,Chadnighat. . ,12,2019,20.1,7.15,456,34.5,266,10.7,266,245,21,1.2,10,37
Buriganga River,"Sadar Ghat, ",12,2019,20.2,7.14,453,34,274,9.8,264,242,22,1.4,9.2,38
Buriganga River,"Dholaikhal, ",12,2019,20.5,7.03,462,32,269,14.6,276,246,30,1.2,12.4,38
Buriganga River,"Bangladesh China Friendship Bridge, ",12,2019,20.4,7.09,463,32.5,267,17.1,282,246,36,0.9,9.6,42
Buriganga River,Pagla. ,12,2019,20.3,7.11,452,34,259,20,271,242,29,1,9.2,42
